,pick_up_hexes,count,day_time
238,89f05ab6abbffff,3052,Night
239,89f05ab6a87ffff,3052,Night
198,89f05ab4cabffff,2997,Night
192,89f05ab4cb3ffff,2997,Night
190,89f05ab4c87ffff,2997,Night
197,89f05ab6b5bffff,2997,Night
191,89f05ab4c97ffff,2997,Night
194,89f05ab4cafffff,2997,Night
195,89f05ab4cbbffff,2997,Night
196,89f05ab6b4bffff,2997,Night
193,89f05ab4ca3ffff,2997,Night
478,89f05ab5d33ffff,2960,Night
479,89f05ab598bffff,2960,Night
480,89f05ab5913ffff,2960,Night
481,89f05ab5993ffff,2960,Night
482,89f05ab5d23ffff,2960,Night
483,89f05ab5d2bffff,2960,Night
352,89f05ab43a3ffff,2834,Night
353,89f05ab4327ffff,2834,Night
355,89f05ab4337ffff,2834,Night
354,89f05ab43afffff,2834,Night
55,89f05ab4863ffff,2831,Night
43,89f05ab486fffff,2831,Night
48,89f05ab4847ffff,2831,Night
49,89f05ab48c7ffff,2831,Night
50,89f05ab48d7ffff,2831,Night
51,89f05ab4c77ffff,2831,Night
52,89f05ab480bffff,2831,Night
53,89f05ab487bffff,2831,Night
54,89f05ab4c67ffff,2831,Night
45,89f05ab489bffff,2831,Night
56,89f05ab4c6fffff,2831,Night
44,89f05ab4873ffff,2831,Night
46,89f05ab4857ffff,2831,Night
47,89f05ab481bffff,2831,Night
166,89f05ab6a97ffff,2745,Night
165,89f05ab4eb7ffff,2654,Night
164,89f05ab4e37ffff,2654,Night
163,89f05ab4c53ffff,2654,Night
162,89f05ab4ea3ffff,2654,Night
161,89f05ab4c4bffff,2654,Night
160,89f05ab4eb3ffff,2654,Night
159,89f05ab4eafffff,2654,Night
158,89f05ab4c43ffff,2654,Night
157,89f05ab4c4fffff,2654,Night
179,89f05ab4c23ffff,2434,Night
178,89f05ab4c3bffff,2434,Night
176,89f05ab4c2bffff,2434,Night
175,89f05ab4c2fffff,2434,Night
177,89f05ab4c33ffff,2434,Night
174,89f05ab4c07ffff,2434,Night
173,89f05ab4893ffff,2434,Night
172,89f05ab4897ffff,2434,Night
118,89f05ab4827ffff,2405,Night
133,89f05ab495bffff,2405,Night
134,89f05ab4ddbffff,2405,Night
119,89f05ab4d53ffff,2405,Night
132,89f05ab4ca7ffff,2405,Night
131,89f05ab48a7ffff,2405,Night
130,89f05ab4cb7ffff,2405,Night
129,89f05ab48afffff,2405,Night
128,89f05ab48a3ffff,2405,Night
127,89f05ab4c27ffff,2405,Night
126,89f05ab4dcbffff,2405,Night
125,89f05ab4c37ffff,2405,Night
124,89f05ab4d4bffff,2405,Night
123,89f05ab49dbffff,2405,Night
122,89f05ab4837ffff,2405,Night
120,89f05ab48b3ffff,2405,Night
121,89f05ab4d5bffff,2405,Night
153,89f05ab598fffff,2347,Night
152,89f05ab5983ffff,2347,Night
154,89f05ab590fffff,2347,Night
155,89f05ab5d2fffff,2347,Night
156,89f05ab5903ffff,2347,Night
151,89f05ab5917ffff,2347,Night
230,89f05aa6adbffff,2225,Night
225,89f05aa45a7ffff,2225,Night
226,89f05aa6a53ffff,2225,Night
227,89f05aa6acbffff,2225,Night
228,89f05aa45b7ffff,2225,Night
229,89f05aa6a43ffff,2225,Night
597,89f05ab59afffff,2200,Night
598,89f05ab59a7ffff,2200,Night
596,89f05ab5937ffff,2200,Night
594,89f05ab59b7ffff,2200,Night
585,89f05ab59b3ffff,2200,Night
593,89f05ab4a5bffff,2200,Night
588,89f05ab4a43ffff,2200,Night
586,89f05ab59a3ffff,2200,Night
595,89f05ab4a4bffff,2200,Night
587,89f05ab5d27ffff,2200,Night
589,89f05ab5d37ffff,2200,Night
590,89f05ab5dafffff,2200,Night
591,89f05ab4a4fffff,2200,Night
592,89f05ab5927ffff,2200,Night
418,89f05ab5997ffff,2116,Night
420,89f05ab5933ffff,2116,Night
419,89f05ab5923ffff,2116,Night
415,89f05ab59bbffff,2116,Night
416,89f05ab5987ffff,2116,Night
417,89f05ab59abffff,2116,Night
2,89f05aa4a87ffff,2050,Night
4,89f05aa41a7ffff,2050,Night
3,89f05aa4c43ffff,2050,Night
5,89f05aa4e27ffff,2050,Night
6,89f05aa4c4fffff,2050,Night
7,89f05aa4ea3ffff,2050,Night
8,89f05aa485bffff,2050,Night
9,89f05aa4eb3ffff,2050,Night
11,89f05aa4c53ffff,2050,Night
10,89f05aa4cd3ffff,2050,Night
0,89f05aa4cdbffff,2050,Night
14,89f05aa4e37ffff,2050,Night
13,89f05aa4eafffff,2050,Night
12,89f05aa4cc3ffff,2050,Night
1,89f05aa4ccbffff,2050,Night
286,89f05ab4a9bffff,2016,Night
282,89f05ab4a03ffff,2016,Night
283,89f05ab4a8bffff,2016,Night
284,89f05ab4e67ffff,2016,Night
285,89f05ab4a13ffff,2016,Night
287,89f05ab4a0fffff,2016,Night
343,89f05ab4103ffff,1944,Night
347,89f05ab418fffff,1944,Night
346,89f05ab416bffff,1944,Night
345,89f05ab4183ffff,1944,Night
344,89f05ab416fffff,1944,Night
348,89f05ab4177ffff,1944,Night
342,89f05ab4187ffff,1944,Night
341,89f05ab4117ffff,1944,Night
351,89f05ab4173ffff,1944,Night
349,89f05ab4163ffff,1944,Night
350,89f05ab410fffff,1944,Night
409,89f05aa638bffff,1819,Night
410,89f05aa6393ffff,1819,Night
413,89f05aa639bffff,1819,Night
411,89f05aa6303ffff,1819,Night
414,89f05aa6383ffff,1819,Night
412,89f05aa6313ffff,1819,Night
429,89f05ab5d6bffff,1804,Night
432,89f05ab59cbffff,1804,Night
431,89f05ab59dbffff,1804,Night
430,89f05ab5953ffff,1804,Night
428,89f05ab59d3ffff,1804,Night
390,89f05aa6437ffff,1755,Night
388,89f05aa6423ffff,1755,Night
393,89f05aa60bbffff,1755,Night
392,89f05aa642fffff,1755,Night
391,89f05aa64afffff,1755,Night
389,89f05aa64a3ffff,1755,Night
