,drop_off_hexes,count,day_time
482,89f05ab4c07ffff,2746,Night
481,89f05ab4893ffff,2746,Night
480,89f05ab4897ffff,2746,Night
93,89f05ab4a8bffff,2707,Night
97,89f05ab4a0fffff,2707,Night
95,89f05ab4a13ffff,2707,Night
94,89f05ab4e67ffff,2707,Night
96,89f05ab4a9bffff,2707,Night
92,89f05ab4a03ffff,2707,Night
91,89f05ab4cabffff,2694,Night
90,89f05ab6b5bffff,2694,Night
89,89f05ab6b4bffff,2694,Night
88,89f05ab4cbbffff,2694,Night
87,89f05ab4cafffff,2694,Night
85,89f05ab4cb3ffff,2694,Night
84,89f05ab4c97ffff,2694,Night
83,89f05ab4c87ffff,2694,Night
86,89f05ab4ca3ffff,2694,Night
227,89f05ab5d27ffff,2664,Night
226,89f05ab59a3ffff,2664,Night
234,89f05ab59b7ffff,2664,Night
228,89f05ab4a43ffff,2664,Night
230,89f05ab5dafffff,2664,Night
231,89f05ab4a4fffff,2664,Night
232,89f05ab5927ffff,2664,Night
233,89f05ab4a5bffff,2664,Night
235,89f05ab4a4bffff,2664,Night
236,89f05ab5937ffff,2664,Night
237,89f05ab59afffff,2664,Night
238,89f05ab59a7ffff,2664,Night
225,89f05ab59b3ffff,2664,Night
229,89f05ab5d37ffff,2664,Night
628,89f05ab6a2fffff,2649,Night
627,89f05ab6a27ffff,2649,Night
632,89f05ab6a33ffff,2649,Night
629,89f05ab6aabffff,2649,Night
626,89f05ab6a23ffff,2649,Night
630,89f05ab6aafffff,2649,Night
631,89f05ab6a37ffff,2649,Night
176,89f05ab4c77ffff,2642,Night
179,89f05ab4c67ffff,2642,Night
178,89f05ab487bffff,2642,Night
177,89f05ab480bffff,2642,Night
170,89f05ab489bffff,2642,Night
175,89f05ab48d7ffff,2642,Night
169,89f05ab4873ffff,2642,Night
173,89f05ab4847ffff,2642,Night
172,89f05ab481bffff,2642,Night
171,89f05ab4857ffff,2642,Night
174,89f05ab48c7ffff,2642,Night
180,89f05ab4863ffff,2642,Night
181,89f05ab4c6fffff,2642,Night
168,89f05ab486fffff,2642,Night
698,89f05ab5993ffff,2608,Night
697,89f05ab5913ffff,2608,Night
696,89f05ab598bffff,2608,Night
695,89f05ab5d33ffff,2608,Night
700,89f05ab5d2bffff,2608,Night
699,89f05ab5d23ffff,2608,Night
216,89f05aa6313ffff,2574,Night
215,89f05aa6303ffff,2574,Night
217,89f05aa639bffff,2574,Night
214,89f05aa6393ffff,2574,Night
213,89f05aa638bffff,2574,Night
218,89f05aa6383ffff,2574,Night
564,89f05ab598fffff,2547,Night
565,89f05ab590fffff,2547,Night
566,89f05ab5d2fffff,2547,Night
567,89f05ab5903ffff,2547,Night
562,89f05ab5917ffff,2547,Night
563,89f05ab5983ffff,2547,Night
182,89f05ab4b3bffff,2501,Night
187,89f05ab4803ffff,2501,Night
194,89f05aa6593ffff,2501,Night
183,89f05ab4b07ffff,2501,Night
192,89f05ab4b93ffff,2501,Night
191,89f05ab488bffff,2501,Night
189,89f05ab482bffff,2501,Night
188,89f05ab4b8fffff,2501,Night
193,89f05ab483bffff,2501,Night
186,89f05ab4813ffff,2501,Night
185,89f05ab4b2bffff,2501,Night
184,89f05ab4b83ffff,2501,Night
190,89f05ab4b17ffff,2501,Night
269,89f05ab4567ffff,2445,Night
268,89f05ab418bffff,2445,Night
267,89f05ab419bffff,2445,Night
266,89f05ab4577ffff,2445,Night
265,89f05ab4113ffff,2445,Night
747,89f05aa6307ffff,2319,Night
746,89f05aa6317ffff,2319,Night
750,89f05aa6387ffff,2319,Night
749,89f05aa6397ffff,2319,Night
748,89f05aa638fffff,2319,Night
1202,89f05ab5933ffff,2117,Night
1201,89f05ab5923ffff,2117,Night
1199,89f05ab59abffff,2117,Night
1198,89f05ab5987ffff,2117,Night
1197,89f05ab59bbffff,2117,Night
1200,89f05ab5997ffff,2117,Night
605,89f05ab4e8bffff,2093,Night
114,89f05ab6a1bffff,2079,Night
115,89f05ab6ac7ffff,2079,Night
116,89f05ab6ad7ffff,2079,Night
117,89f05ab6e6fffff,2079,Night
754,89f05ab59d7ffff,2058,Night
753,89f05ab59cfffff,2058,Night
751,89f05ab5d6fffff,2058,Night
755,89f05ab5957ffff,2058,Night
756,89f05ab59c7ffff,2058,Night
757,89f05ab5947ffff,2058,Night
752,89f05ab591bffff,2058,Night
611,89f05aa64a3ffff,1928,Night
612,89f05aa6437ffff,1928,Night
613,89f05aa64afffff,1928,Night
614,89f05aa642fffff,1928,Night
615,89f05aa60bbffff,1928,Night
610,89f05aa6423ffff,1928,Night
209,89f05ab4807ffff,1889,Night
212,89f05ab4b87ffff,1889,Night
211,89f05ab482fffff,1889,Night
210,89f05ab4883ffff,1889,Night
201,89f05ab4887ffff,1889,Night
207,89f05ab4817ffff,1889,Night
206,89f05ab488fffff,1889,Night
205,89f05ab48abffff,1889,Night
202,89f05ab4823ffff,1889,Night
204,89f05ab4b97ffff,1889,Night
203,89f05ab4833ffff,1889,Night
208,89f05ab48bbffff,1889,Night
587,89f05ab6aa3ffff,1872,Night
588,89f05ab685bffff,1872,Night
589,89f05ab684bffff,1872,Night
586,89f05ab6ab3ffff,1872,Night
368,89f05ab4107ffff,1860,Night
369,89f05ab413bffff,1860,Night
370,89f05ab41abffff,1860,Night
371,89f05ab41bbffff,1860,Night
449,89f05ab6eafffff,1811,Night
448,89f05ab6e23ffff,1811,Night
451,89f05ab6e27ffff,1811,Night
450,89f05ab6e2fffff,1811,Night
447,89f05ab6e37ffff,1811,Night
1270,89f05ab596bffff,1774,Night
1269,89f05ab5973ffff,1774,Night
1268,89f05ab5963ffff,1774,Night
1267,89f05aa66d3ffff,1774,Night
1266,89f05ab590bffff,1774,Night
1384,89f05ab452bffff,1760,Night
1385,89f05ab4193ffff,1760,Night
256,89f05ab5d67ffff,1621,Night
254,89f05ab5d77ffff,1621,Night
253,89f05ab5d07ffff,1621,Night
252,89f05ab599bffff,1621,Night
255,89f05ab5d3bffff,1621,Night
420,89f05aa4c37ffff,1587,Night
422,89f05aa4827ffff,1587,Night
421,89f05aa4c2bffff,1587,Night
415,89f05aa48afffff,1587,Night
419,89f05aa4bbbffff,1587,Night
418,89f05aa4893ffff,1587,Night
417,89f05aa4953ffff,1587,Night
416,89f05aa4887ffff,1587,Night
424,89f05aa49cbffff,1587,Night
414,89f05aa4c23ffff,1587,Night
423,89f05aa4c3bffff,1587,Night
429,89f05aa6abbffff,1587,Night
425,89f05aa49dbffff,1587,Night
426,89f05aa4c33ffff,1587,Night
427,89f05aa494bffff,1587,Night
428,89f05aa4d5bffff,1587,Night
430,89f05aa4b87ffff,1587,Night
431,89f05aa488fffff,1587,Night
432,89f05aa4cafffff,1587,Night
433,89f05aa4b23ffff,1587,Night
434,89f05aa4b93ffff,1587,Night
435,89f05aa6b5bffff,1587,Night
436,89f05aa6a2fffff,1587,Night
412,89f05aa4c97ffff,1587,Night
413,89f05aa4817ffff,1587,Night
400,89f05aa4ca3ffff,1587,Night
411,89f05aa4cbbffff,1587,Night
380,89f05aa4ba3ffff,1587,Night
410,89f05aa4807ffff,1587,Night
386,89f05aa4cb3ffff,1587,Night
385,89f05aa4833ffff,1587,Night
384,89f05aa48a7ffff,1587,Night
383,89f05aa6a37ffff,1587,Night
382,89f05aa4823ffff,1587,Night
381,89f05aa6a33ffff,1587,Night
379,89f05aa48a3ffff,1587,Night
389,89f05aa4c8fffff,1587,Night
378,89f05aa4837ffff,1587,Night
377,89f05aa4b83ffff,1587,Night
376,89f05aa6a27ffff,1587,Night
375,89f05aa4b33ffff,1587,Night
374,89f05aa482bffff,1587,Night
373,89f05aa4babffff,1587,Night
372,89f05aa4883ffff,1587,Night
388,89f05aa4c2fffff,1587,Night
387,89f05aa48b7ffff,1587,Night
390,89f05aa4cabffff,1587,Night
402,89f05aa4897ffff,1587,Night
409,89f05aa48b3ffff,1587,Night
408,89f05aa48bbffff,1587,Night
407,89f05aa6b4bffff,1587,Night
406,89f05aa4bb3ffff,1587,Night
405,89f05aa48abffff,1587,Night
404,89f05aa482fffff,1587,Night
391,89f05aa483bffff,1587,Night
403,89f05aa4c27ffff,1587,Night
394,89f05aa4c07ffff,1587,Night
401,89f05aa495bffff,1587,Night
399,89f05aa6aabffff,1587,Night
398,89f05aa6a87ffff,1587,Night
397,89f05aa4d4bffff,1587,Night
396,89f05aa6a23ffff,1587,Night
395,89f05aa4c17ffff,1587,Night
393,89f05aa4b97ffff,1587,Night
392,89f05aa4c87ffff,1587,Night
579,89f05ab4b9bffff,1578,Night
580,89f05ab4b03ffff,1578,Night
581,89f05ab4b13ffff,1578,Night
582,89f05ab4b8bffff,1578,Night
583,89f05ab480fffff,1578,Night
578,89f05ab4867ffff,1578,Night
584,89f05ab4877ffff,1578,Night
811,89f05ab5953ffff,1569,Night
812,89f05ab59dbffff,1569,Night
813,89f05ab59cbffff,1569,Night
809,89f05ab59d3ffff,1569,Night
810,89f05ab5d6bffff,1569,Night
715,89f05ab5ba7ffff,1536,Night
717,89f05aa664bffff,1536,Night
716,89f05aa66cbffff,1536,Night
714,89f05aa75b3ffff,1536,Night
713,89f05aa66dbffff,1536,Night
718,89f05aa665bffff,1536,Night
224,89f05ab6b4fffff,1526,Night
223,89f05ab6b43ffff,1526,Night
258,89f05ab6a9bffff,1510,Night
257,89f05ab6e67ffff,1510,Night
150,89f05ab4e37ffff,1505,Night
149,89f05ab4c53ffff,1505,Night
143,89f05ab4c4fffff,1505,Night
151,89f05ab4eb7ffff,1505,Night
147,89f05ab4c4bffff,1505,Night
146,89f05ab4eb3ffff,1505,Night
145,89f05ab4eafffff,1505,Night
144,89f05ab4c43ffff,1505,Night
148,89f05ab4ea3ffff,1505,Night
603,89f05ab4523ffff,1459,Night
602,89f05ab45a3ffff,1459,Night
601,89f05ab45b3ffff,1459,Night
604,89f05ab4533ffff,1459,Night
530,89f05ab4133ffff,1386,Night
529,89f05ab412bffff,1386,Night
528,89f05ab4123ffff,1386,Night
527,89f05ab4e93ffff,1386,Night
