,routes,count,day_time
81,89f0586b647ffff**89f0586b2c3ffff**89f0586b2cbffff**89f0586b27bffff**89f0586b257ffff**89f0586b24fffff**89f0586b247ffff**89f0586b2d3ffff**89f0586b243ffff**89f0586b2cfffff**89f0586b253ffff**89f0586b2dbffff**89f0586b67bffff**89f0586b66bffff,1052,Night
90,89f05ab597bffff,1051,Night
43,89f05aa6647ffff**89f05aa664fffff**89f05aa6653ffff**89f05aa6643ffff**89f05aa6657ffff,1041,Night
59,89f05ab5bb7ffff**89f05ab594fffff**89f05ab5943ffff,1026,Night
62,89f05aa66c3ffff**89f05ab5967ffff**89f05ab596fffff**89f05aa66d7ffff**89f05ab5977ffff,1020,Night
63,89f05ab599bffff**89f05ab5d07ffff**89f05ab5d77ffff**89f05ab5d3bffff**89f05ab5d67ffff,1008,Night
57,89f05ab41cfffff**89f05ab4147ffff**89f05ab4157ffff**89f05ab417bffff,995,Night
45,89f05aa629bffff**89f05aa628bffff**89f05aa6203ffff**89f05aa6213ffff,964,Night
109,89f05aa4457ffff**89f05aa444fffff**89f05aa626bffff**89f05aa4443ffff**89f05aa46b7ffff**89f05aa4453ffff**89f05aa44cbffff**89f05aa44cfffff**89f05aa627bffff**89f05aa46a3ffff**89f05aa6257ffff**89f05aa6247ffff,929,Night
37,89f05ab4867ffff**89f05ab4b9bffff**89f05ab4b03ffff**89f05ab4b13ffff**89f05ab4b8bffff**89f05ab480fffff**89f05ab4877ffff,912,Night
85,89f05ab5b2fffff**89f05ab5b33ffff**89f05ab5b23ffff**89f05ab5ba3ffff**89f05ab5bb3ffff**89f05aa7597ffff**89f05ab5bafffff**89f05ab5b37ffff**89f05ab5b27ffff,883,Night
38,89f05aa6273ffff**89f05aa44d3ffff**89f05aa6263ffff,881,Night
50,89f05ab6857ffff**89f05ab68c3ffff**89f05ab68cfffff**89f05ab684fffff,829,Night
30,89f05ab4167ffff**89f05ab4e9bffff,779,Night
60,89f05aa662fffff**89f05aa6297ffff**89f05aa645bffff**89f05aa6633ffff**89f05aa6623ffff**89f05aa62bbffff**89f05aa6617ffff**89f05aa66bbffff**89f05aa668fffff**89f05aa6687ffff**89f05aa663bffff**89f05aa6287ffff**89f05aa66abffff**89f05aa6607ffff,711,Night
75,89f05ab5babffff**89f05ab5bbbffff**89f05ab5827ffff**89f05ab5b97ffff**89f05ab58afffff**89f05ab5837ffff**89f05ab5b87ffff**89f05ab58a3ffff,706,Night
51,89f05ab4dc3ffff**89f05ab4dd7ffff**89f05ab6b7bffff**89f05ab4d47ffff**89f05ab4dcfffff**89f05ab4d6bffff**89f05ab6b6bffff**89f05ab4d57ffff**89f05ab6b6fffff**89f05ab4dd3ffff**89f05ab4d7bffff,682,Night
71,89f05ab6b17ffff**89f05ab6b77ffff**89f05ab6b0fffff**89f05ab6b07ffff**89f05ab6b2bffff**89f05ab4d17ffff**89f05ab6b67ffff**89f05ab6b87ffff**89f05ab4d8fffff**89f05ab6b03ffff**89f05ab6b63ffff**89f05ab6b3bffff**89f05ab4d93ffff**89f05ab4d83ffff**89f05ab6b73ffff,648,Night
86,89f05aa44d7ffff**89f05aa449bffff**89f05aa4447ffff**89f05aa44c7ffff**89f05aa626fffff**89f05aa44c3ffff**89f05aa441bffff,559,Night
100,89f05aa6683ffff**89f05ab592fffff**89f05aa6693ffff**89f05aa6697ffff,558,Night
89,89f05ab4e3bffff**89f05ab4e33ffff**89f05ab4e2bffff**89f05ab4eabffff**89f05ab4ebbffff,557,Night
91,89f05aa624fffff**89f05aa71a7ffff**89f05aa71b7ffff**89f05aa6253ffff**89f05aa44dbffff**89f05aa6243ffff,551,Night
101,89f05aa6317ffff**89f05aa6307ffff**89f05aa638fffff**89f05aa6397ffff**89f05aa6387ffff,513,Night
92,89f05aa62c7ffff**89f05aa620bffff**89f05aa6667ffff**89f05aa6677ffff**89f05aa621bffff,469,Night
61,89f05ab595bffff**89f05ab594bffff,455,Night
